[dash-shell] not claiming dash:// from capture-cockpit.mjs — only the app's own entry point may be the handler
[dash-shell] DASH_DATA_DIR override in effect: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\store
[dash-shell] allowed command=glance.looked id=1114ad4d-86b0-4733-8a9e-b008eab4e499 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3b860d29-de73-4c70-993a-96ce1f8158c2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=588138fa-ab26-45aa-89f2-50a1250f10a5 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=fe478360-c8a2-45d4-adf2-da781dbf0f30 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=c64b208f-eb78-4398-8979-afc285d12fec keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2203e588-2c58-4bf9-ac73-d8613756a055 keys=[agent_id] mutates=true
[dash-shell] allowed command=open.link id=e7d94ab5-53e3-473e-9008-6031424de3d1 keys=[url] mutates=false
[dash-shell] allowed command=glance.looked id=95421378-c61a-4513-b1c5-e182ac6f8b19 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e15c32b1-980f-4098-aeba-8ac7489bb90c keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=6182ab6b-44e2-497c-bd43-05f707becc55 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0cc06bba-925a-4056-a606-0e64120b1268 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=bc22da45-2ca7-420e-8ef3-817eceb65a8f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=9949cf55-0b43-4abc-9639-18218ddb76a1 keys=[agent_id] mutates=true
[dash-shell] allowed command=workspace.exportBrief id=f03bf40a-0779-43f6-96e2-3981b9c5ed14 keys=[agent_id,artifact_id] mutates=false
[dash-shell] allowed command=glance.looked id=c318c4a6-f697-432e-b5f3-d4fa24db0bff keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=cfc3914a-6468-4775-b094-b03b3bf9191f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=f6506955-0ac0-41b7-8720-8bf76ccee6de keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=70ccc195-8e6d-4609-8bd5-563eb1883628 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=b9ea8baa-3d0a-48a1-9739-7ee71272d608 keys=[agent_id] mutates=true
[dash-shell] allowed command=standing_answer.clear id=a3da7484-659e-4dc4-bd6b-28b27ccab61c keys=[agent_id,question_key] mutates=true
[dash-shell] the approval popup could not load its page: Error: ERR_FAILED (-2) loading 'dash-app://ui/approval-popup'
